PLUGIN_START,Amp Room Guvnor.ssx
MAP_START,ksyw,Amp Room Guvnor,Default,MARSHALL GUVNOR,,SSX_TYPE_AMP_ROOM_MODULE,,
PARAMETER,0,Gain,Drive,SUBPLUGIN_Param1,0.5,,,,,
PARAMETER,1,Bass,Bass,SUBPLUGIN_Param2,0.5,,,,,
PARAMETER,2,Middle,Middle,SUBPLUGIN_Param3,0.5,,,,,
PARAMETER,3,Treble,Treble,SUBPLUGIN_Param4,0.5,,,,,
PARAMETER,4,Volume,Level,SUBPLUGIN_Param5,0.5,,,,,
MAP_END,-------,-------,-------,-------,-------,-------,-------,-------,-------
MAP_START,ksyw,Amp Room Guvnor,CODEMode,,,SSX_TYPE_AMP_ROOM_MODULE,,
PARAMETER,0,Gain,Drive,SUBPLUGIN_Param1,0.5,,,,,
PARAMETER,1,Bass,Bass,SUBPLUGIN_Param2,0.5,,,,,
PARAMETER,2,Middle,Middle,SUBPLUGIN_Param3,0.5,,,,,
PARAMETER,3,Treble,Treble,SUBPLUGIN_Param4,0.5,,,,,
PARAMETER,4,Volume,Level,SUBPLUGIN_Param5,0.5,,,,,
MAP_END,-------,-------,-------,-------,-------,-------,-------,-------,-------
PLUGIN_END,=======,=======,=======,=======,=======,=======,=======,=======,=======
PLUGIN_START,Modular Delay.ssx
MAP_START,pl8i,Modular Delay,Default,Delay,,SSX_TYPE_MODULAR_MODULE,,
PARAMETER,0,Time,,MODULE_Param1,0.5,,,,,
PARAMETER,1,CV Amount,,MODULE_Param2,0.5,,,,,
MAP_END,-------,-------,-------,-------,-------,-------,-------,-------,-------
PLUGIN_END,=======,=======,=======,=======,=======,=======,=======,=======,=======
PLUGIN_START,Doepfer A-108 VCF 48 dB.ssx
MAP_START,t6va,Doepfer A-108 VCF 48 dB,Default,,,SSX_TYPE_MODULAR_MODULE,,
PARAMETER,0,Frequency,,MODULE_Param1,0.5,,,,,
PARAMETER,1,CV2,,MODULE_Param4,0.5,,,,,
PARAMETER,2,CV3,,MODULE_Param5,0.5,,,,,
PARAMETER,3,Audio Level,,MODULE_Param3,0.2,,,,,
PARAMETER,4,Emphasis,,MODULE_Param2,0.5,,,,,
PARAMETER,5,Subsystem,,,0.0,,,,,
MAP_END,-------,-------,-------,-------,-------,-------,-------,-------,-------
PLUGIN_END,=======,=======,=======,=======,=======,=======,=======,=======,=======
PLUGIN_START,Tube-Tech Equalizers mk II.ssx
MAP_START,zvxz,Tube-Tech Equalizers mk II,Default,Tube-Tech EQs mk II,Tube-Tech mk II,SSX_TYPE_CONSOLE1_EQUALIZER,,
PARAMETER,0,PE1C Low Boost,Low Boost,EQ_LF_Gain,0.0,,,,,
PARAMETER,1,PE1C Low Atten,Low Atten,EQ_LF_Type,0.0,,,,,
PARAMETER,2,PE1C Low Frequency,Low Freq.,EQ_LF_Freq,0.333333,,,,KNOB_MODE_SINGLE,
PARAMETER,3,PE1C High Bandwidth,High BW,EQ_HF_Type,0.0,,,,,
PARAMETER,4,PE1C High Boost,High Boost,EQ_HF_Gain,0.0,,,,,
PARAMETER,5,PE1C High Frequency,High Freq.,EQ_HF_Freq,0.444444,,,,KNOB_MODE_SINGLE,
PARAMETER,6,PE1C High Atten,High Atten,EQ_HF_Gain_Shift,0.0,,,,,
PARAMETER,7,PE1C High Atten Sel,High Atten Sel,EQ_HF_Freq_Shift,0.5,,,,,
PARAMETER,8,PE1C Output Gain,,,0.5,,,,,
PARAMETER,9,PE1C In,,,1.0,,,,,
PARAMETER,10,ME1B Low Frequency,Low Mid Freq.,EQ_LMF_Freq,0.5,,,,KNOB_MODE_SINGLE,
PARAMETER,11,ME1B Low Peak,Low Mid Peak,EQ_LMF_Gain,0.0,,,,,
PARAMETER,12,ME1B Mid Frequency,Mid Freq.,EQ_LMF_Freq_Shift,0.5,,,,KNOB_MODE_SINGLE,
PARAMETER,13,ME1B Mid Dip,Mid Dip,EQ_LMF_Gain_Shift,0.0,,,,,
PARAMETER,14,ME1B High Frequency,High Mid Freq.,EQ_HMF_Freq,0.5,,,,KNOB_MODE_SINGLE,
PARAMETER,15,ME1B High Peak,High Mid Peak,EQ_HMF_Gain,0.0,,,,,
PARAMETER,16,ME1B Output Gain,,,0.5,,,,,
PARAMETER,17,ME1B In,,,1.0,,,,,
MAP_END,-------,-------,-------,-------,-------,-------,-------,-------,-------
MAP_START,zvxz,Tube-Tech Equalizers mk II,Alt1,Tube-Tech EQs mk II (ME 1B),Tube-Tech ME 1B,SSX_TYPE_CONSOLE1_EQUALIZER,,
PARAMETER,0,PE1C Low Boost,,,0.0,,,,,
PARAMETER,1,PE1C Low Atten,,,0.0,,,,,
PARAMETER,2,PE1C Low Frequency,,,0.333333,,,,,
PARAMETER,3,PE1C High Bandwidth,,,0.0,,,,,
PARAMETER,4,PE1C High Boost,,,0.0,,,,,
PARAMETER,5,PE1C High Frequency,,,0.444444,,,,,
PARAMETER,6,PE1C High Atten,,,0.0,,,,,
PARAMETER,7,PE1C High Atten Sel,,,0.5,,,,,
PARAMETER,8,PE1C Output Gain,,,0.5,,,,,
PARAMETER,9,PE1C In,,,0.0,,,,,
PARAMETER,10,ME1B Low Frequency,Low Frequency,EQ_LF_Freq,0.5,,,,,
PARAMETER,11,ME1B Low Peak,Low Peak,EQ_LF_Gain,0.0,,,,,
PARAMETER,12,ME1B Mid Frequency,Mid Frequency,EQ_LMF_Freq,0.5,,,,,
PARAMETER,13,ME1B Mid Dip,Mid Dip,EQ_LMF_Gain,0.0,,,,,
PARAMETER,14,ME1B High Frequency,High Frequency,EQ_HMF_Freq,0.5,,,,,
PARAMETER,15,ME1B High Peak,High Peak,EQ_HMF_Gain,0.0,,,,,
PARAMETER,16,ME1B Output Gain,,,0.5,,,,,
PARAMETER,17,ME1B In,,,1.0,,,,,
MAP_END,-------,-------,-------,-------,-------,-------,-------,-------,-------
MAP_START,zvxz,Tube-Tech Equalizers mk II,Alt2,Tube-Tech EQs mk II (PE 1C),Tube-Tech PE 1C,SSX_TYPE_CONSOLE1_EQUALIZER,,
PARAMETER,0,PE1C Low Boost,Low Boost,EQ_LF_Gain,0.0,,,,,
PARAMETER,1,PE1C Low Atten,Low Atten,EQ_LMF_Gain,0.0,,,,,
PARAMETER,2,PE1C Low Frequency,Low Frequency,EQ_LF_Freq,0.333333,,,,,
PARAMETER,3,PE1C High Bandwidth,High Bandwidth,EQ_HMF_Q,0.0,,,,,
PARAMETER,4,PE1C High Boost,High Boost,EQ_HMF_Gain,0.0,,,,,
PARAMETER,5,PE1C High Frequency,High Frequency,EQ_HMF_Freq,0.444444,,,,,
PARAMETER,6,PE1C High Atten,High Atten,EQ_HF_Gain,0.0,,,,,
PARAMETER,7,PE1C High Atten Sel,High Atten Sel,EQ_HF_Freq,0.5,,,,,
PARAMETER,8,PE1C Output Gain,,,0.5,,,,,
PARAMETER,9,PE1C In,,,1.0,,,,,
PARAMETER,10,ME1B Low Frequency,,,0.5,,,,,
PARAMETER,11,ME1B Low Peak,,,0.0,,,,,
PARAMETER,12,ME1B Mid Frequency,,,0.5,,,,,
PARAMETER,13,ME1B Mid Dip,,,0.0,,,,,
PARAMETER,14,ME1B High Frequency,,,0.5,,,,,
PARAMETER,15,ME1B High Peak,,,0.0,,,,,
PARAMETER,16,ME1B Output Gain,,,0.5,,,,,
PARAMETER,17,ME1B In,,,0.0,,,,,
MAP_END,-------,-------,-------,-------,-------,-------,-------,-------,-------
PLUGIN_END,=======,=======,=======,=======,=======,=======,=======,=======,=======
PLUGIN_START,Modular Quantizer.ssx
MAP_START,tld9,Modular Quantizer,Default,Quantizer,,SSX_TYPE_MODULAR_MODULE,,
PARAMETER,0,C,,MODULE_Param1,1.0,,,,,
PARAMETER,1,C-sharp,,MODULE_Param2,1.0,,,,,
PARAMETER,2,D,,MODULE_Param3,1.0,,,,,
PARAMETER,3,D-sharp,,MODULE_Param4,1.0,,,,,
PARAMETER,4,E,,MODULE_Param5,1.0,,,,,
PARAMETER,5,F,,MODULE_Param6,1.0,,,,,
PARAMETER,6,F-sharp,,MODULE_Param7,1.0,,,,,
PARAMETER,7,G,,MODULE_Param8,1.0,,,,,
PARAMETER,8,G-sharp,,MODULE_Param9,1.0,,,,,
PARAMETER,9,A,,MODULE_Param10,1.0,,,,,
PARAMETER,10,A-sharp,,MODULE_Param11,1.0,,,,,
PARAMETER,11,B,,MODULE_Param12,1.0,,,,,
MAP_END,-------,-------,-------,-------,-------,-------,-------,-------,-------
PLUGIN_END,=======,=======,=======,=======,=======,=======,=======,=======,=======
PLUGIN_START,Model 82 LFO.ssx
